タグID,タグ名,カテゴリ,説明
T001,ダンス(講師),ダンス,ダンスを教えられる人材
T002,ダンス(パフォーマー),ダンス,ステージ・イベントで踊れる人材
T003,振付,ダンス,振付制作ができる人材
T004,ヒップホップ,ダンス・ジャンル,ヒップホップダンス
T005,ハウス,ダンス・ジャンル,ハウスダンス
T006,ロック,ダンス・ジャンル,ロックダンス
T007,ポップ,ダンス・ジャンル,ポップダンス
T008,ブレイクダンス,ダンス・ジャンル,ブレイキン
T009,K-POP,ダンス・ジャンル,K-POPダンス
T010,バレエ,ダンス・ジャンル,バレエ
T011,コンテンポラリー,ダンス・ジャンル,コンテンポラリーダンス
T012,ジャズダンス,ダンス・ジャンル,ジャズダンス
T013,エンジニア(Web),IT,Webエンジニア
T014,エンジニア(アプリ),IT,アプリ開発エンジニア
T015,エンジニア(インフラ),IT,インフラ・クラウドエンジニア
T016,デザイナー(グラフィック),クリエイティブ,グラフィックデザイン
T017,デザイナー(UI/UX),クリエイティブ,UI/UXデザイン
T018,映像制作,クリエイティブ,動画・映像制作
T019,カメラマン,クリエイティブ,写真・動画撮影
T020,音楽(DJ),クリエイティブ,DJ・音楽制作
T021,音楽(アーティスト),クリエイティブ,シンガー・アーティスト
T022,SNS運用,マーケティング,SNSアカウント運用・拡散力
T023,マーケター,マーケティング,マーケティング全般
T024,コピーライター,マーケティング,コピー・文章制作
T025,営業,ビジネス,法人・個人への営業
T026,MC・司会,イベント,イベント司会・MC
T027,イベント運営,イベント,イベント企画・運営
T028,スポンサー営業,イベント,協賛・スポンサー獲得
T029,会場手配,イベント,会場・ロケーション調整
T030,弁護士,専門職,法律相談・契約書作成
T031,税理士・会計士,専門職,税務・財務
T032,医療関係,専門職,医師・看護師・医療従事者
T033,不動産,専門職,不動産取引・物件紹介
T034,政府・行政,コネクション,行政・政策関係者
T035,メディア,コネクション,テレビ・雑誌・メディア関係者
T036,投資家・資金調達,コネクション,出資・融資ができる人材
T037,インフルエンサー,コネクション,フォロワー多数・影響力あり
T038,コーチ・メンタル,ウェルネス,コーチング・メンタルサポート
T039,ピラティス・ヨガ,ウェルネス,ピラティス・ヨガ講師
T040,フィットネス,ウェルネス,トレーナー・フィットネス系
